is_fake,senti_score,punc_num,cap_num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,0.988231714,0.120300752,0.05775076,0.500057918,0.634822016,0.424429619,0.448216324,0.483700237,0.460710594,0.506980973,0.47119717,0.481463723,0.478039865,0.503096719,0.476393838,0.570041541,0.482688708,0.464263388,0.538659566,0.463888898,0.520293955,0.496778313,0.459397809,0.526887547,0.491377761,0.512374583,0.460792855,0.491665146,0.517053343,0.520491544,0.504856774,0.513418907,0.512830348,0.472138966,0.511162523,0.527348505,0.533510713,0.484734586,0.46253708,0.487519197,0.528106248,0.474848256,0.501405766,0.441699703,0.477919034,0.503921064,0.482137635,0.54276866,0.530160173,0.51952517,0.525469553,0.483537237,0.529613349,0.44472359,0.46062545,0.515345403,0.483297109,0.496052581,0.535046798,0.514004101,0.535652702,0.493938176,0.483448556,0.46647002,0.541637784,0.510469836,0.497792609,0.487757896,0.534567143,0.455905044,0.487009227,0.551824516,0.510402172,0.528663915,0.467433615,0.495110794,0.521809961,0.473151015,0.48398047,0.512278353,0.549639222,0.441758895,0.527611104,0.488170407,0.485007414,0.459340082,0.507185363,0.452767778,0.536270144,0.510157608,0.497149713,0.464316485,0.507851118,0.478149015,0.479785717,0.488600854,0.446347329,0.479088721,0.482224733,0.473841058,0.464389988,0.499457694,0.477580656
1,0.901085523,0.157894737,0.124620061,1.000105791,0.819259988,0.62021162,0.467014527,0.50041873,0.620195338,0.481451108,0.53270352,0.505060006,0.55032517,0.479008848,0.547184052,0.524876228,0.515215984,0.504597103,0.512743595,0.452448294,0.475046684,0.491149741,0.492867079,0.505649421,0.495383278,0.504928903,0.499002513,0.516519976,0.539545408,0.476305548,0.50903938,0.489052176,0.470419134,0.488223925,0.501380865,0.486204101,0.479556989,0.485394836,0.45232303,0.522108911,0.506136395,0.481154125,0.547366691,0.448523,0.472769592,0.511409982,0.499995788,0.527357707,0.522840373,0.533830133,0.498295655,0.57949632,0.513234185,0.51665661,0.529108748,0.476752624,0.523657328,0.513356205,0.475843112,0.452829461,0.527336575,0.488158347,0.486061811,0.519241866,0.500299104,0.509898506,0.492835805,0.511180365,0.480581516,0.478994737,0.458581585,0.485209441,0.48512295,0.500859445,0.498223175,0.486085448,0.504868388,0.531999519,0.497742592,0.502140925,0.520854265,0.523199345,0.5238386,0.528402756,0.521527165,0.492761477,0.488702769,0.48826404,0.504705506,0.51069184,0.505606711,0.46614925,0.499710228,0.454556712,0.482753572,0.484265057,0.464713836,0.527462765,0.509684669,0.480014107,0.491904831,0.523113934,0.514235057
1,0.655676169,0.142857143,0.079027356,1.500086303,0.721391438,0.46072204,0.498859252,0.499814458,0.461639003,0.567846647,0.508691304,0.472714604,0.52508784,0.538422116,0.486438217,0.515908058,0.522744143,0.526276824,0.506214117,0.463180133,0.514613683,0.521236545,0.479450371,0.510844006,0.487765517,0.479740819,0.466061399,0.470211492,0.517422776,0.464933591,0.487054548,0.481559756,0.467238634,0.514413357,0.482331943,0.465067302,0.499471799,0.535374385,0.460866513,0.544075798,0.5061284,0.46354164,0.469032605,0.429779662,0.484449422,0.502807262,0.535409091,0.47950975,0.522658473,0.501226873,0.536868279,0.520110889,0.514371824,0.466367628,0.473279717,0.479519137,0.488190911,0.515995924,0.513224609,0.520509365,0.482548254,0.480075318,0.492519429,0.474091566,0.524124281,0.49188864,0.511907124,0.562657302,0.494347724,0.491907012,0.520970441,0.47870731,0.475408592,0.519370966,0.515951829,0.475632184,0.468851945,0.480466842,0.519958241,0.497055116,0.511526731,0.542117785,0.463492569,0.506951459,0.48785628,0.484764996,0.511540191,0.5492314,0.563369954,0.497691169,0.508436845,0.496891539,0.532901711,0.505532479,0.480956367,0.488513345,0.513140906,0.533274523,0.487296503,0.497511634,0.521333762,0.481630172,0.491896178
0,0.898244902,0.278195489,0.082066869,2.000067356,0.665950947,0.441777308,0.544173896,0.542186538,0.505407092,0.524049387,0.472961625,0.407917011,0.510820102,0.561829446,0.469491791,0.487075902,0.541958011,0.517103433,0.515167741,0.485256938,0.516668341,0.567554611,0.493686573,0.521759824,0.506175901,0.498381711,0.502168477,0.492887358,0.532882038,0.496007557,0.550412722,0.520724739,0.473165865,0.499650808,0.523649172,0.505288077,0.489709941,0.482618882,0.534881116,0.481680822,0.483245534,0.461737481,0.516301868,0.53426554,0.466927749,0.528989868,0.502252046,0.481280545,0.542636039,0.515876574,0.463025009,0.470054302,0.510120272,0.497315644,0.513840728,0.488780707,0.468025581,0.522391224,0.498303751,0.5039006,0.527354272,0.472148477,0.48188041,0.522321888,0.477502443,0.487771652,0.455762227,0.496832817,0.518159838,0.481724576,0.507766503,0.488356628,0.473131369,0.509635143,0.520415489,0.517129412,0.504029079,0.504201309,0.506573641,0.461826374,0.485483891,0.516481307,0.507543187,0.48346523,0.462881797,0.49147816,0.515558822,0.564576668,0.518559086,0.558469087,0.51755835,0.515562332,0.476578751,0.515707484,0.480442912,0.482492734,0.464228465,0.533193718,0.51253155,0.461611491,0.529961231,0.509521918,0.502428018
0,0.89530283,0.037593985,0.015197568,2.500043369,0.593829088,0.441375681,0.570294786,0.520167329,0.533762798,0.565556803,0.447087875,0.46164503,0.461281387,0.442209312,0.476389977,0.520971617,0.515999792,0.501534458,0.523646827,0.51693256,0.452745012,0.482267307,0.5319468,0.486387712,0.460412389,0.518949538,0.495244751,0.467952656,0.511108119,0.497026031,0.494866247,0.511689627,0.501696383,0.451607603,0.466382627,0.485646872,0.496377853,0.582267382,0.552043044,0.526654679,0.551349466,0.433970681,0.533915249,0.502939211,0.562242676,0.472566199,0.512287397,0.468190695,0.467982081,0.509239633,0.490850591,0.444985377,0.494218463,0.485793745,0.491658511,0.511946267,0.551107821,0.491240713,0.511128027,0.458990624,0.497453266,0.551150845,0.468195565,0.504921749,0.472383084,0.491561176,0.46936741,0.54360965,0.520873892,0.501890008,0.503654725,0.465806133,0.521072772,0.455447699,0.464205879,0.525272518,0.490964179,0.495526732,0.533714577,0.48416739,0.486657445,0.498002985,0.506257099,0.541096646,0.526580334,0.486139535,0.472319046,0.512977729,0.443712621,0.469306163,0.503556214,0.468839227,0.527960652,0.465652623,0.484984442,0.51044248,0.474554379,0.493112227,0.530395855,0.50463086,0.514101665,0.47545953,0.532757056
1,0.967890839,0.120300752,0.036474164,3.000065353,0.671205889,0.471900304,0.487359959,0.45559628,0.416591084,0.494742376,0.444104837,0.567118951,0.528437886,0.467947405,0.613338392,0.469866092,0.535180733,0.473321448,0.580442009,0.43404835,0.549310957,0.517512312,0.522192216,0.517454233,0.480603894,0.515328549,0.55971685,0.492622011,0.484284463,0.502357654,0.50733273,0.505033148,0.465119119,0.465021249,0.558665902,0.470723143,0.458468971,0.488831761,0.494080628,0.504307842,0.500005333,0.493994433,0.517622063,0.515079367,0.53204299,0.469536679,0.482612607,0.492579789,0.512321301,0.51153867,0.486295012,0.509949815,0.466593964,0.48507167,0.473458332,0.520859601,0.491504402,0.509094661,0.518435494,0.511319505,0.5083973,0.478631712,0.486843348,0.52625993,0.511851953,0.46915856,0.516703999,0.529252845,0.482763845,0.526452721,0.529914299,0.449083121,0.510367619,0.470576986,0.498563087,0.520987755,0.510115408,0.514409542,0.474379134,0.467103059,0.510792808,0.496960458,0.513065113,0.538608178,0.483800285,0.54229695,0.490882402,0.506677866,0.493768483,0.475634944,0.466240952,0.472270816,0.529602658,0.460570539,0.495253086,0.504427792,0.501474793,0.510687495,0.478558651,0.497968084,0.478800805,0.53507755,0.488815247
1,0.971238714,0.15037594,0.009118541,3.50005463,0.633284718,0.425395357,0.457616315,0.478109305,0.485622704,0.480492148,0.547068294,0.560320856,0.483412696,0.508379957,0.455105809,0.515696699,0.46594517,0.480048345,0.523445269,0.4738507,0.517457683,0.493511194,0.525164024,0.485537837,0.483468117,0.51788548,0.490197641,0.47153474,0.432215052,0.500463512,0.490093036,0.558283587,0.460514329,0.556810159,0.521464223,0.488428091,0.568154546,0.460934935,0.499219422,0.511347358,0.452098327,0.410538159,0.465311226,0.439821857,0.601603875,0.50135833,0.464415282,0.470839018,0.549992794,0.47131882,0.512722154,0.495564853,0.46567684,0.521271784,0.507686652,0.498750593,0.530891832,0.39650399,0.502604751,0.534798665,0.527668995,0.511352248,0.502853824,0.512355492,0.494492359,0.463618033,0.455535542,0.442630605,0.462374058,0.513518643,0.507211976,0.526121088,0.516379385,0.465459178,0.524817323,0.504995083,0.522778557,0.493508579,0.50817989,0.508584647,0.550080489,0.443942032,0.518413802,0.500227293,0.495616917,0.475764429,0.498672783,0.501631632,0.480516129,0.519309746,0.501682497,0.537176697,0.487247678,0.471293315,0.506822122,0.502632719,0.505978224,0.519619405,0.449101553,0.545510056,0.559271687,0.530162488,0.502248521
0,0.871157553,0.180451128,0.072948328,4.000069941,0.673986763,0.449083954,0.483878242,0.480406283,0.456132694,0.572659134,0.518232472,0.49103369,0.486872561,0.545113202,0.527906299,0.463230765,0.546037433,0.507736994,0.480609428,0.518094047,0.495212052,0.523718513,0.405001247,0.475813906,0.476415791,0.511782882,0.493759519,0.451877279,0.532011814,0.487139149,0.48597934,0.516828921,0.515530552,0.543592148,0.507840746,0.514403831,0.521736574,0.488912895,0.496750301,0.475087922,0.469279902,0.507019422,0.477053524,0.51491549,0.457547678,0.553957252,0.518322576,0.442986117,0.49186369,0.516295817,0.481252308,0.491080614,0.499425842,0.504749348,0.481487705,0.467849602,0.492222684,0.478855106,0.457804406,0.469646174,0.539376695,0.531696386,0.517087402,0.510032327,0.530059148,0.499033145,0.467302267,0.527674412,0.541851508,0.491304153,0.493365385,0.524507107,0.451308002,0.510095256,0.508484085,0.525897536,0.533425399,0.452545496,0.549786077,0.479272636,0.518101222,0.569843096,0.502548667,0.518343324,0.47883331,0.51096115,0.528038864,0.520168015,0.487080455,0.463252073,0.513633166,0.538289757,0.502410622,0.499517879,0.450428795,0.53417573,0.480138994,0.486199639,0.456189405,0.480419732,0.505466722,0.472468451,0.540105164
1,0.985898346,0.135338346,0.060790274,4.500066833,0.64748239,0.383197895,0.488586397,0.44574354,0.452011694,0.44036487,0.465463874,0.536774117,0.57789755,0.510047575,0.645183902,0.39193371,0.54004422,0.477368878,0.620031231,0.47504266,0.514948624,0.554391755,0.496707529,0.536989227,0.48479117,0.527862022,0.526219645,0.50211298,0.54196516,0.491475826,0.510300321,0.487976259,0.470630659,0.454379558,0.503024098,0.47655781,0.533647559,0.524651909,0.498892979,0.519516191,0.554580689,0.54704067,0.5031881,0.542909811,0.52114896,0.456924519,0.458656064,0.499603616,0.492302339,0.488949483,0.485221852,0.532762456,0.523861487,0.533566163,0.47907594,0.500193874,0.52163509,0.517163468,0.474523693,0.490363633,0.486166763,0.507600829,0.520673349,0.517414403,0.484151124,0.544234846,0.499019151,0.506615771,0.541573617,0.486585751,0.49707826,0.501974623,0.456047296,0.460026188,0.486305167,0.521564401,0.499435595,0.478523709,0.489593442,0.487570989,0.535246945,0.478366062,0.537387392,0.503050649,0.468947991,0.511305312,0.5189305,0.471056959,0.506008107,0.499984679,0.478280167,0.509863258,0.504134912,0.498436211,0.494950412,0.48918489,0.482857829,0.501466289,0.481468065,0.519843225,0.52483517,0.523527797,0.495831431
1,0.992188293,0.082706767,0.045592705,5.000061666,0.643644961,0.402787131,0.526509227,0.477104539,0.486251334,0.510644995,0.483425355,0.611377575,0.475524548,0.436421822,0.498001022,0.472314339,0.539767792,0.480851246,0.452840537,0.507353872,0.46658579,0.417131582,0.490309788,0.456681086,0.50226231,0.46695552,0.468169287,0.51781189,0.463095508,0.501692589,0.577622106,0.569834669,0.508189606,0.478317404,0.535990298,0.444551539,0.466305193,0.470763675,0.463616247,0.47823041,0.47101288,0.527013172,0.488839799,0.514580222,0.496552996,0.478405578,0.497545997,0.473251177,0.500346898,0.51749117,0.522599265,0.522184888,0.517863284,0.527609696,0.506932723,0.497633275,0.512655171,0.548712649,0.52299982,0.501983605,0.544669701,0.461070354,0.506252255,0.460483911,0.436896445,0.517847982,0.496679807,0.510848301,0.470224564,0.496772008,0.501749354,0.480943313,0.524470377,0.529771041,0.452951371,0.484747478,0.470248042,0.457501942,0.511529954,0.46874334,0.494725649,0.480038089,0.549671578,0.494636408,0.500718822,0.492780806,0.504106099,0.475571047,0.479869723,0.532341215,0.506496199,0.492105185,0.480915818,0.486270796,0.530770666,0.519280075,0.475378303,0.492910234,0.513216314,0.536302953,0.555820855,0.463198906,0.487690044
1,0.99518109,0.330827068,0.133738602,5.500120361,0.844854426,0.512463591,0.493329788,0.487647873,0.466409562,0.458085893,0.516350269,0.48881008,0.504085198,0.525869612,0.527779324,0.528845555,0.466338166,0.51269945,0.51311984,0.477539816,0.494742434,0.462931375,0.542449449,0.445256269,0.55116089,0.410404151,0.490826698,0.501573377,0.485766382,0.549054085,0.419104846,0.517625129,0.524064444,0.46917769,0.509126999,0.592978499,0.540881922,0.505970534,0.478390601,0.500838658,0.541937945,0.499238288,0.453346645,0.497822537,0.515942909,0.540614451,0.524612003,0.52084683,0.513286981,0.52871202,0.494672424,0.535740058,0.496963716,0.485467718,0.500648874,0.497514398,0.452658291,0.548465171,0.544654893,0.496343886,0.484133625,0.466731526,0.515743417,0.532494941,0.510892869,0.548529532,0.496131856,0.455472585,0.477276637,0.536111981,0.552820192,0.499750594,0.534454451,0.459059108,0.44343334,0.492758632,0.483640252,0.494327161,0.571966803,0.511893338,0.507002471,0.46195356,0.484631718,0.512178734,0.464089664,0.506549739,0.532377606,0.513274136,0.510619537,0.496095471,0.491211269,0.527137359,0.524497575,0.52496038,0.478349412,0.485531863,0.531224932,0.464798846,0.510656484,0.501151916,0.502260062,0.472370324,0.501356587
